iter	RMSE
0	0.3969837791
1	0.3905631088
2	0.3844281272
3	0.3796213369
4	0.374569258
5	0.3701808311
6	0.3660743209
7	0.3626107103
8	0.3590983069
9	0.355821865
10	0.3532362866
11	0.3505146788
12	0.3481365941
13	0.3456709406
14	0.3435035893
15	0.3417246052
16	0.3402357025
17	0.3390440509
18	0.3377444485
19	0.3362220447
20	0.3347493798
21	0.3335920778
22	0.3326847537
23	0.3314061317
24	0.3306962152
25	0.3300399104
26	0.3296239996
27	0.3288565878
28	0.3280168725
29	0.327388948
30	0.3264255111
31	0.3259248484
32	0.3253042658
33	0.3247839518
34	0.3241517629
35	0.3238552085
36	0.323432326
37	0.3228220147
38	0.3223372237
39	0.321807196
40	0.3214598838
41	0.3211947139
42	0.3209045949
43	0.3204436959
44	0.3200155759
45	0.3196051221
46	0.319349727
47	0.3191541489
48	0.3188034135
49	0.3184192078
50	0.3182349014
51	0.3178750521
52	0.3175296425
53	0.3173504792
54	0.3172374635
55	0.3168191085
56	0.316575607
57	0.316344494
58	0.3161834374
59	0.3160306806
60	0.3156905624
61	0.3155089656
62	0.3153675105
63	0.3152076978
64	0.3151031317
65	0.3149460581
66	0.314855869
67	0.3146962585
68	0.3144662604
69	0.3141400099
70	0.314034767
71	0.3139126858
72	0.3137994705
73	0.313670975
74	0.3135070761
75	0.3133208164
76	0.3132146215
77	0.3130506749
78	0.3129107086
79	0.3127626724
80	0.3126951983
81	0.3125237217
82	0.3123967113
83	0.3122037943
84	0.3121315988
85	0.3119407289
86	0.3118672937
87	0.3117862296
88	0.311662387
89	0.3115556633
90	0.3114479508
91	0.3113734399
92	0.3112390887
93	0.3110646404
94	0.3109175731
95	0.3108430027
96	0.3107809044
97	0.3107044318
98	0.3106283917
99	0.3104535896
100	0.3103681424
101	0.3102882579
102	0.3101162147
103	0.310021919
104	0.3098908176
105	0.3098509849
106	0.3097106014
107	0.3095927161
108	0.3095228373
109	0.3093641376
110	0.3093066952
111	0.3092417779
112	0.3091888359
113	0.3091028777
114	0.3088976753
115	0.3088293302
116	0.3087206309
