iter	Passed	Remaining
0	2	2871
1	5	2572
2	7	2434
3	9	2462
4	12	2404
5	14	2386
6	16	2327
7	18	2258
8	20	2204
9	21	2158
10	23	2154
11	25	2129
12	27	2106
13	29	2085
14	31	2070
15	33	2060
16	35	2041
17	37	2025
18	38	2011
19	41	2018
20	43	2013
21	45	2007
22	47	1997
23	48	1989
24	50	1967
25	52	1962
26	53	1933
27	56	1948
28	58	1966
29	60	1962
30	62	1954
31	64	1944
32	66	1936
33	67	1927
34	69	1922
35	72	1936
36	74	1945
37	76	1946
38	78	1945
39	81	1944
40	82	1940
41	84	1937
42	87	1942
43	89	1943
44	91	1946
45	93	1945
46	96	1947
47	98	1950
48	100	1946
49	102	1944
50	104	1948
51	106	1945
52	108	1942
53	110	1939
54	112	1935
55	114	1931
56	116	1926
57	118	1929
58	120	1926
59	122	1918
60	124	1913
61	126	1907
62	127	1901
63	129	1895
64	131	1891
65	133	1885
66	135	1885
67	137	1880
68	138	1874
69	140	1868
70	142	1862
71	144	1856
72	145	1851
73	147	1848
74	149	1844
75	151	1844
76	153	1840
77	155	1835
78	157	1831
79	158	1826
80	160	1821
81	162	1818
82	164	1816
83	166	1820
84	169	1820
85	171	1817
86	172	1813
87	174	1809
88	176	1810
89	178	1809
90	180	1805
91	183	1806
92	185	1804
93	186	1800
94	188	1796
95	190	1792
96	192	1792
97	194	1789
98	196	1785
99	198	1786
100	200	1785
101	202	1782
102	204	1781
103	206	1779
104	208	1776
105	210	1772
106	212	1769
107	214	1771
108	216	1769
109	218	1766
110	220	1763
111	222	1761
112	224	1758
113	225	1755
114	227	1752
115	229	1751
116	231	1750
117	233	1747
118	235	1746
119	237	1743
120	239	1741
121	241	1738
122	243	1735
123	245	1735
124	247	1733
125	249	1730
126	251	1728
127	253	1726
128	255	1723
129	256	1719
130	258	1716
131	260	1714
132	263	1714
133	265	1712
134	267	1711
135	269	1709
136	270	1707
137	272	1703
138	274	1700
139	276	1697
140	278	1697
141	280	1695
142	282	1692
143	284	1689
144	285	1686
145	287	1683
146	289	1680
147	291	1678
148	293	1679
149	295	1676
150	297	1673
151	299	1670
152	301	1667
153	303	1664
154	304	1662
155	306	1659
156	308	1657
157	310	1656
158	312	1653
159	314	1650
160	316	1647
161	317	1644
162	319	1642
163	321	1640
164	323	1637
165	326	1638
166	328	1637
167	330	1637
168	333	1637
169	335	1638
170	337	1637
171	339	1635
172	342	1636
173	344	1633
174	346	1631
175	347	1629
176	349	1626
177	351	1624
178	353	1622
179	355	1619
180	357	1619
181	359	1617
182	361	1615
183	363	1613
184	365	1611
185	367	1608
186	369	1606
187	371	1605
188	374	1605
189	376	1603
190	378	1601
191	379	1598
192	381	1596
193	383	1593
194	385	1591
195	387	1590
196	390	1589
197	391	1587
198	393	1584
199	395	1582
200	397	1579
201	399	1577
202	401	1574
203	403	1573
204	405	1573
205	407	1571
206	409	1569
207	411	1567
208	413	1565
209	415	1562
210	417	1561
211	419	1558
212	421	1558
213	424	1557
214	426	1556
215	428	1554
216	430	1552
217	432	1550
218	434	1548
219	436	1547
220	438	1546
221	440	1545
222	443	1543
223	445	1543
224	447	1541
225	449	1538
226	451	1537
227	454	1537
228	457	1538
229	459	1536
230	461	1535
231	463	1534
232	466	1534
233	468	1535
234	472	1538
235	474	1536
236	477	1536
237	479	1536
238	482	1535
239	485	1537
240	488	1538
241	490	1537
242	493	1536
243	495	1535
244	497	1533
245	507	1557
246	510	1556
247	512	1553
248	514	1550
249	517	1551
250	519	1550
251	521	1548
252	524	1547
253	526	1546
254	528	1544
255	530	1541
256	533	1542
257	536	1543
258	538	1541
259	540	1539
260	543	1537
261	545	1537
262	549	1538
263	551	1537
264	553	1535
265	556	1534
266	558	1532
267	560	1530
268	562	1527
269	565	1527
270	567	1526
271	569	1524
272	571	1522
273	573	1519
274	575	1516
275	577	1514
276	580	1514
277	583	1514
278	585	1513
279	587	1511
280	589	1509
281	591	1506
282	593	1503
283	596	1504
284	599	1504
285	601	1502
286	604	1500
287	606	1498
288	608	1495
289	610	1493
290	613	1495
291	615	1493
292	618	1491
293	620	1489
294	622	1486
295	623	1483
296	626	1482
297	628	1480
298	630	1477
299	631	1474
300	633	1471
301	636	1470
302	639	1470
303	641	1468
304	643	1466
305	645	1464
306	648	1463
307	651	1462
308	655	1464
309	657	1464
310	660	1462
